x,y,z
-86.22004,4.078,-5.567928
-85.4118,4.078,-3.381342
-37.12573,22.13467,-64.43223
-33.22669,23.18408,-66.25434
-30.3921,22.088,-74.95344
-83.18312,4.134667,-5.268881
-83.18312,4.134667,-5.268881
-32.18091,22.088,-87.28241
-81.36007,4.078,-2.407977
-35.70024,22.088,-78.3187
-84.41133,4.078,-0.6548047
-85.65807,4.078,2.138039
-85.54299,4.134667,1.898457
-39.27914,22.13467,-78.18237
-86.02451,4.078,4.550584
-86.96392,4.078,7.624511
-86.89639,4.134667,7.388135
-39.64625,22.13467,-78.16967
-42.74456,22.088,-73.90239
-41.58189,22.13467,-75.33335
-86.89639,4.134667,7.388135
-86.26911,4.078,9.939369
-87.03315,4.078,11.43686
-41.85047,22.13467,-75.13784
-86.93333,4.134667,11.19476
-41.85047,22.13467,-75.13784
-25.37335,22.40458,-71.15405
-38.34774,22.13467,-74.17212
-21.68465,22.93591,-85.88815
-35.53875,22.088,-90.09591
-85.1175,4.078,11.84883
-36.8702,22.13467,-89.73434
-85.22777,4.078,10.60325
-36.8702,22.13467,-89.73434
-85.81504,4.078,8.403576
-37.81432,23.06181,-94.73962
-37.29813,23.077,-94.73802
-88.39915,4.078,4.34352
-90.10069,4.078,1.207791
-36.07317,22.088,-93.6599
-33.72957,22.088,-91.82426
-91.39485,4.134667,2.773793
-116.62,-3.715,-46.02
-33.50862,22.088,-88.64494
-118.3978,-3.902,-47.90471
-118.0072,-3.902,-49.33308
-117.3444,-3.902,-50.40424
-37.13564,22.088,-83.37178
-117.414,-3.796496,-50.14653
-116.1883,-3.902,-44.70914
-33.69931,22.088,-83.10069
-112.5496,-3.902,-38.31246
-112.4811,-3.902,-37.33199
-110.8727,-3.902,-35.06735
-111.2309,-3.902,-34.61304
-111.0826,-3.902,-33.99128
-110.2694,-3.829575,-32.45981
-34.19606,22.088,-82.25271
-24.141,23.04767,-60.20529
-24.83041,22.75154,-69.71112
-110.2694,-3.829575,-32.45981
-25.36827,22.57709,-69.72945
-108.2829,-3.902,-33.09969
-107.0509,-3.902,-35.83059
-106.3866,-3.902,-41.16198
-106.8103,-3.902,-41.87735
-108.3419,-3.902,-46.06519
-25.12706,22.088,-70.77914
-109.2046,-3.902,-47.32677
-111.69,-3.902,-52.49274
-112.1735,-3.902,-53.08418
-110.1632,-3.902,-50.31789
-110.1554,-3.902,-50.95861
